product_key,product_code,product_name,category_key,brand_key,unit,color,size,storage,weight_gram,cost_price,selling_price,tax_percent,status,is_active
77,PRD000077,L'Oreal Revitalift,10,38,pcs,,,,457,219200,306900,11,Active,True
78,PRD000078,Royal Canin Persian,19,61,pcs,,,,4992,407900,491700,11,Active,True
79,PRD000079,Olympic Kitchen Cabinet Green,5,22,pcs,Green,Small,,16024,258700,325700,11,Active,True
80,PRD000080,Bosch Battery,18,57,pcs,,,,7644,517700,681700,11,Active,True
81,PRD000081,Midea Air Conditioner,4,18,pcs,,,,9819,3798500,4613300,11,Active,True
82,PRD000082,SteelSeries Apex Pro Gray 64GB,21,67,pcs,Gray,,64GB,2961,10804800,13293900,11,Active,True
83,PRD000083,Apple iPhone 16 Pro Gold 512GB,3,11,pcs,Gold,,512GB,174,13172400,15055400,11,Active,True
84,PRD000084,Castrol Magnatec,18,59,pcs,,,,1911,2729200,3637800,11,Active,True
85,PRD000085,Bosch Battery,18,57,pcs,,,,3658,1690600,2251500,11,Active,True
86,PRD000086,Midea Air Conditioner,4,18,pcs,,,,2482,5126800,6190600,11,Active,True
87,PRD000087,Cussons Baby Baby Oil,20,64,pcs,,,,1684,310500,406700,11,Active,True
88,PRD000088,The North Face Borealis Purple,15,52,pcs,Purple,20L,,3344,2864100,3598700,11,Active,True
89,PRD000089,Wardah Perfect Bright,10,35,bottle,,,,312,318600,468300,11,Active,True
90,PRD000090,Erlangga Science Book,16,54,pcs,,,,902,125300,165500,0,Active,True
91,PRD000091,Uniqlo Chino Pants Red,11,41,pcs,Red,XL,,281,302900,448000,11,Active,True
92,PRD000092,Royal Canin Indoor,19,61,pcs,,,,574,19400,26900,11,Active,True
93,PRD000093,SteelSeries Apex Pro White 64GB,21,67,pcs,White,,64GB,1499,7697400,9883100,11,Discontinued,False
94,PRD000094,Mothercare Baby Shoes Green,13,46,pcs,Green,S,,160,856400,1277700,11,Active,True
95,PRD000095,Kalbe Hydro Coco,9,34,box,,,,416,31600,41500,11,Active,True
96,PRD000096,OPPO A5 Pro Pink 1TB,3,14,pcs,Pink,,1TB,205,9931500,11372800,11,Active,True
97,PRD000097,SteelSeries Rival 3 Black 256GB,21,67,pcs,Black,,256GB,899,10740800,12967800,11,Active,True
98,PRD000098,Roland TD-07,22,69,pcs,,,,6887,431400,531300,11,Active,True
99,PRD000099,Bantex Document Tray,24,74,pcs,,,,1095,318500,434500,11,Active,True
100,PRD000100,LEGO Creator,25,76,pcs,,,,2973,396900,562000,11,Active,True
101,PRD000101,Entrasol Gold,9,33,box,,,,397,29000,39400,11,Active,True
102,PRD000102,Uniqlo Chino Pants Red,12,44,pcs,Red,L,,337,1057200,1612700,11,Active,True
103,PRD000103,Whiskas Adult Tuna,19,60,pcs,,,,4458,261800,366000,11,Active,True
104,PRD000104,Pepsi Mirinda,8,30,pack,,,,1372,6500,7800,11,Active,True
105,PRD000105,The North Face Summit Jacket White,15,52,pcs,White,20L,,3906,3108700,4372200,11,Active,True
106,PRD000106,Mothercare Baby Shoes Black,13,46,pcs,Black,XXL,,183,206700,284600,11,Active,True
107,PRD000107,Nike Air Max Pink,11,39,pcs,Pink,S,,683,1725400,2345800,11,Active,True
108,PRD000108,Pampers Baby Dry,20,62,pack,,,,1344,371300,509100,11,Active,True
109,PRD000109,Nike Mercurial Blue,14,47,pcs,Blue,XS,,2532,816400,1013600,11,Active,True
110,PRD000110,Informa Wardrobe Silver,5,21,pcs,Silver,Small,,30087,3338000,4085700,11,Active,True
111,PRD000111,Zara Leather Jacket Purple,12,42,pcs,Purple,XXL,,212,1041600,1663800,11,Active,True
112,PRD000112,Electrolux Front Load Washer,4,17,pcs,,,,4629,2784100,3476100,11,Active,True
113,PRD000113,Joyko Ballpoint,17,56,box,,,,271,22500,31400,11,Active,True
114,PRD000114,Logitech G Pro X Pink 128GB,21,66,pcs,Pink,,128GB,338,11566000,14803300,11,Active,True
115,PRD000115,L'Oreal Revitalift,10,38,bottle,,,,144,452400,630400,11,Active,True
116,PRD000116,Nike Court Vision Gray,14,47,pcs,Gray,L,,2540,3821600,4701100,11,Active,True
117,PRD000117,Yamaha P-145,22,68,pcs,,,,12124,4894400,6259900,11,Active,True
118,PRD000118,Cussons Baby Baby Powder,20,64,pack,,,,2161,1101800,1463400,11,Active,True
119,PRD000119,Joyko Stapler,17,56,box,,,,127,10300,14800,11,Active,True
120,PRD000120,Royal Canin Persian,19,61,pcs,,,,4037,137800,167700,11,Active,True
121,PRD000121,Deli Paper Cutter,24,75,pcs,,,,2311,118600,159100,11,Active,True
122,PRD000122,Emina Sun Protection,10,37,pcs,,,,63,321200,456800,11,Active,True
123,PRD000123,Carter's Baby Pajamas Green,13,45,pcs,Green,XS,,229,905400,1229200,11,Active,True
124,PRD000124,Logitech MX Master 3 Pink 512GB,21,66,pcs,Pink,,512GB,2418,10327400,13374200,11,Active,True
125,PRD000125,Faber Castell Color Pencil,17,55,pcs,,,,267,15300,22100,11,Active,True
126,PRD000126,The North Face Summit Jacket Gray,15,52,pcs,Gray,20L,,3810,1822800,2477700,11,Active,True
127,PRD000127,ASUS ROG Strix G16 Gold 256GB,2,9,pcs,Gold,,256GB,1648,11126800,12926800,11,Active,True
128,PRD000128,Castrol Magnatec,18,59,pcs,,,,6101,2164400,2683700,11,Active,True
129,PRD000129,MamyPoko Pants Standard,20,63,pcs,,,,1748,1319400,1660700,11,Active,True
130,PRD000130,Faber Castell 2B Pencil,17,55,box,,,,159,12000,16700,11,Active,True
131,PRD000131,The North Face Borealis Red,15,52,pcs,Red,50L,,774,1594400,2216700,11,Active,True
132,PRD000132,Royal Canin Indoor,19,61,pcs,,,,1415,240300,300800,11,Active,True
133,PRD000133,ASUS TUF A15 Blue 64GB,2,9,pcs,Blue,,64GB,2787,15129400,16927400,11,Active,True
134,PRD000134,Yamaha F310,22,68,pcs,,,,13921,4612800,5507200,11,Active,True
135,PRD000135,Joyko Stapler,17,56,box,,,,174,54400,75700,11,Active,True
136,PRD000136,Pampers Premium Care,20,62,pcs,,,,2569,1052200,1336700,11,Active,True
137,PRD000137,Joyko Ballpoint,17,56,pcs,,,,153,22800,29900,11,Active,True
138,PRD000138,Carter's Baby Romper Gold,13,45,pcs,Gold,XS,,447,783800,1103200,11,Active,True
139,PRD000139,Castrol Power1,18,59,pcs,,,,5292,2232700,2992700,11,Active,True
140,PRD000140,Deli Calculator,24,75,pcs,,,,258,296500,398500,11,Active,True
141,PRD000141,GarudaFood Kacang Garuda,7,28,pcs,,,,667,60600,68100,0,Active,True
142,PRD000142,Tupperware Lunch Box,6,23,set,,,,3609,416000,579600,11,Active,True
143,PRD000143,Apple iPhone 16 Pro Blue 1TB,3,11,pcs,Blue,,1TB,239,6116600,6827800,11,Active,True
144,PRD000144,Blackmores Vitamin C,9,32,bottle,,,,51,253000,345200,11,Active,True
145,PRD000145,Deli Calculator,24,75,pcs,,,,3913,331400,441300,11,Discontinued,False
146,PRD000146,Coca-Cola Sprite 390ml,8,29,pack,,,,1655,35700,41700,11,Active,True
147,PRD000147,Sony PlayStation 5 Gray,1,3,pcs,Gray,,,4473,7537900,9452800,11,Active,True
148,PRD000148,The North Face Base Camp Duffel Pink,15,52,pcs,Pink,30L,,653,3490800,4850900,11,Active,True
149,PRD000149,LocknLock Food Keeper,6,24,pcs,,,,4265,260100,353200,11,Active,True
150,PRD000150,Baseus GaN Charger Purple,23,72,pcs,Purple,,,921,1430500,1877900,11,Active,True
151,PRD000151,Adidas Stan Smith White,14,48,pcs,White,XS,,2576,1107700,1346700,11,Active,True
152,PRD000152,Zara Slim Blazer Black,12,42,pcs,Black,XXL,,378,1237400,1968200,11,Active,True
153,PRD000153,Apple iPad Air Red 128GB,3,11,pcs,Red,,128GB,175,10776400,11901400,11,Active,True
154,PRD000154,Mattel Hot Wheels,25,77,box,,,,3328,706900,977100,11,Active,True
155,PRD000155,Make Over Lip Cream,10,36,pcs,,,,370,31700,47400,11,Active,True
156,PRD000156,Midea Microwave Oven,4,18,pcs,,,,9182,4821700,5824000,11,Active,True
157,PRD000157,Panasonic Rice Cooker SR Blue,1,4,pcs,Blue,,,2308,3250700,3852300,11,Active,True
158,PRD000158,Nike Revolution Blue,11,39,pcs,Blue,XL,,531,1889900,2990500,11,Active,True
159,PRD000159,Faber Castell Color Pencil,17,55,pcs,,,,266,47500,68900,11,Active,True
160,PRD000160,Zara Leather Jacket Blue,12,42,pcs,Blue,XS,,577,1687900,2297300,11,Active,True
161,PRD000161,H&M Basic Hoodie Silver,12,43,pcs,Silver,L,,183,1911800,2919000,11,Active,True
162,PRD000162,Nike Mercurial Pink,14,47,pcs,Pink,XXL,,1142,2901600,3558400,11,Active,True
163,PRD000163,Nestle Nescafe,8,31,pack,,,,1826,10300,12700,11,Active,True
164,PRD000164,Roland TD-07,22,69,pcs,,,,608,8827100,10307700,11,Discontinued,False
165,PRD000165,Nike Air Max Green,14,47,pcs,Green,L,,319,1145700,1439100,11,Active,True
166,PRD000166,Indofood Indomie Goreng,7,26,pcs,,,,256,80900,92100,0,Active,True
167,PRD000167,UGREEN 65W Charger Black,23,73,pcs,Black,,,408,33900,48400,11,Active,True
168,PRD000168,Deli Stapler,24,75,pcs,,,,1387,194700,262300,11,Discontinued,False
169,PRD000169,Shell Advance AX7,18,58,pcs,,,,3001,2834100,3420500,11,Active,True
170,PRD000170,LEGO Technic,25,76,box,,,,2423,430500,662500,11,Active,True
171,PRD000171,IKEA BILLY Bookcase Gold,5,20,pcs,Gold,Small,,48685,3497400,4364700,11,Active,True
172,PRD000172,SteelSeries Apex Pro Black 256GB,21,67,pcs,Black,,256GB,369,8178700,10569100,11,Active,True
173,PRD000173,Castrol EDGE,18,59,pcs,,,,2310,3225600,4137300,11,Active,True
174,PRD000174,Logitech G102 White 128GB,21,66,pcs,White,,128GB,2917,2758900,3522900,11,Active,True
175,PRD000175,Samsung Galaxy S25+ Black,1,1,pcs,Black,,,2333,6047600,7151000,11,Active,True
176,PRD000176,Zara Midi Dress Green,12,42,pcs,Green,S,,124,187700,254800,11,Active,True
177,PRD000177,MamyPoko Extra Dry,20,63,pcs,,,,2320,966500,1233300,11,Active,True
178,PRD000178,Deli Stapler,24,75,pcs,,,,2565,224100,301100,11,Active,True
179,PRD000179,Maspion Pressure Cooker,6,25,set,,,,4112,721200,915300,11,Active,True
180,PRD000180,Samsung Galaxy A36 White 512GB,3,12,pcs,White,,512GB,187,14948200,17385700,11,Active,True
181,PRD000181,Coca-Cola Fanta Orange,8,29,box,,,,621,16900,21100,11,Active,True
182,PRD000182,Hasbro Monopoly,25,78,pcs,,,,592,258800,365800,11,Active,True
183,PRD000183,Electrolux Vacuum Cleaner,4,17,pcs,,,,10002,3699000,4335100,11,Active,True
184,PRD000184,Lenovo IdeaPad Slim 5 White 1TB,2,8,pcs,White,,1TB,1920,19989200,23474400,11,Active,True
185,PRD000185,Entrasol Active,9,33,bottle,,,,403,28500,38400,11,Active,True
186,PRD000186,IKEA BILLY Bookcase Red,5,20,pcs,Red,Large,,13055,1933000,2578400,11,Active,True
187,PRD000187,Gramedia Workbook,16,53,pcs,,,,362,82500,111000,0,Active,True
188,PRD000188,Nike Air Max Red,14,47,pcs,Red,XS,,2362,2480200,3419600,11,Active,True
189,PRD000189,Mayora Roma Biscuit,7,27,kg,,,,842,82700,95500,0,Active,True
190,PRD000190,Mothercare Baby Blanket Purple,13,46,pcs,Purple,S,,63,352500,489800,11,Active,True
191,PRD000191,vivo V50 Blue 512GB,3,15,pcs,Blue,,512GB,257,9219700,10313000,11,Discontinued,False
192,PRD000192,Emina Sun Protection,10,37,bottle,,,,150,281600,412700,11,Active,True
193,PRD000193,Nike Pegasus Blue,11,39,pcs,Blue,XXL,,598,137700,209300,11,Active,True
194,PRD000194,Nestle Milo,8,31,bottle,,,,679,5200,6300,11,Active,True
195,PRD000195,Baseus USB-C Hub Black,23,72,pcs,Black,,,757,2207600,2901800,11,Active,True
196,PRD000196,SteelSeries Arctis Nova Gold 512GB,21,67,pcs,Gold,,512GB,1572,3596400,4539400,11,Active,True
197,PRD000197,Tupperware Lunch Box,6,23,set,,,,4335,26900,34400,11,Active,True
198,PRD000198,Mothercare Baby Onesie Purple,13,46,pcs,Purple,L,,191,217600,319500,11,Active,True
199,PRD000199,Uniqlo AIRism T-Shirt Purple,11,41,pcs,Purple,L,,994,2041600,2767200,11,Active,True
200,PRD000200,Apple AirPods Pro Red 64GB,3,11,pcs,Red,,64GB,275,4667500,5397600,11,Active,True
201,PRD000201,Sharp Aquos TV Gold,1,5,pcs,Gold,,,2323,7504800,9141500,11,Active,True
202,PRD000202,Wardah Hydrating Toner,10,35,pcs,,,,431,481100,686900,11,Active,True
203,PRD000203,UGREEN HDMI Cable Red,23,73,pcs,Red,,,954,387900,531200,11,Active,True
204,PRD000204,Bantex Document Tray,24,74,pcs,,,,848,165900,225000,11,Active,True
205,PRD000205,Joyko Stapler,17,56,pcs,,,,159,46200,66900,11,Active,True
206,PRD000206,Indofood Pop Mie,7,26,kg,,,,584,61600,72100,0,Active,True
207,PRD000207,LocknLock Water Bottle,6,24,pcs,,,,1999,524300,664600,11,Active,True
208,PRD000208,Mayora Beng Beng,7,27,pack,,,,609,26400,31100,0,Active,True
209,PRD000209,Midea Microwave Oven,4,18,pcs,,,,12590,1184700,1413100,11,Active,True
210,PRD000210,Zara Slim Blazer Gray,12,42,pcs,Gray,S,,733,246100,354900,11,Active,True
211,PRD000211,Carter's Baby Romper Purple,13,45,pcs,Purple,XS,,349,45100,60500,11,Active,True
212,PRD000212,Deli Stapler,24,75,pcs,,,,842,20800,27700,11,Active,True
213,PRD000213,Entrasol Platinum,9,33,bottle,,,,467,12400,16900,11,Active,True
214,PRD000214,Olympic TV Cabinet White,5,22,pcs,White,Large,,14456,434500,570200,11,Active,True
215,PRD000215,Whiskas Adult Tuna,19,60,pcs,,,,2197,425300,510700,11,Active,True
216,PRD000216,SteelSeries Apex Pro Black 64GB,21,67,pcs,Black,,64GB,577,3044800,3711200,11,Active,True
217,PRD000217,Gramedia Dictionary,16,53,pcs,,,,1479,125900,157700,0,Active,True
218,PRD000218,Sharp Microwave R728 Gold,1,5,pcs,Gold,,,1201,3622000,4564100,11,Active,True
219,PRD000219,OPPO A5 Pro White 128GB,3,14,pcs,White,,128GB,205,3415400,3907200,11,Active,True
220,PRD000220,Baseus GaN Charger Pink,23,72,pcs,Pink,,,656,358400,471500,11,Active,True
221,PRD000221,Joyko Notebook,17,56,box,,,,219,44800,64700,11,Active,True
222,PRD000222,Nike Pegasus Red,14,47,pcs,Red,XL,,1276,1072200,1318800,11,Active,True
223,PRD000223,Mattel Barbie,25,77,box,,,,2679,363800,535800,11,Active,True
224,PRD000224,Nike Court Vision Gray,14,47,pcs,Gray,M,,2042,3399900,4246100,11,Active,True
225,PRD000225,Gramedia Dictionary,16,53,pcs,,,,1261,126900,161600,0,Active,True
226,PRD000226,IKEA MALM Bed Silver,5,20,pcs,Silver,Large,,59178,3427400,4471000,11,Active,True
227,PRD000227,Mayora Roma Biscuit,7,27,pack,,,,405,79200,92100,0,Active,True
228,PRD000228,LEGO City,25,76,pcs,,,,2367,729600,1046200,11,Active,True
229,PRD000229,Uniqlo Oxford Shirt Pink,11,41,pcs,Pink,S,,830,728900,1054300,11,Active,True
230,PRD000230,Bosch Battery,18,57,pcs,,,,5879,3276600,4159200,11,Active,True
231,PRD000231,Roland GO Keys,22,69,pcs,,,,13681,3976200,5044900,11,Active,True
232,PRD000232,Anker PowerCore 10000 Red,23,71,pcs,Red,,,775,1819400,2541800,11,Active,True
233,PRD000233,Whiskas Wet Food,19,60,pack,,,,1043,228400,281500,11,Active,True
234,PRD000234,Casio PX-S1100,22,70,pcs,,,,12421,9475800,11215400,11,Active,True
235,PRD000235,Royal Canin Indoor,19,61,kg,,,,2797,422900,549300,11,Active,True
236,PRD000236,Baseus Power Bank Green,23,72,pcs,Green,,,718,2018100,2778600,11,Active,True
237,PRD000237,Razer Kraken Purple 256GB,21,65,pcs,Purple,,256GB,2528,7099900,8370800,11,Active,True
238,PRD000238,Uniqlo Chino Pants Gold,11,41,pcs,Gold,L,,309,1322900,2058700,11,Active,True
239,PRD000239,Uniqlo AIRism T-Shirt Black,12,44,pcs,Black,XXL,,491,325700,488500,11,Active,True
240,PRD000240,Blackmores Multivitamin,9,32,bottle,,,,114,44800,57600,11,Active,True
241,PRD000241,Midea Air Conditioner,4,18,pcs,,,,5587,4602800,5616100,11,Active,True
242,PRD000242,Mayora Roma Biscuit,7,27,kg,,,,882,51700,61900,0,Active,True
243,PRD000243,H&M Cotton Shirt Black,12,43,pcs,Black,XS,,216,1658400,2516400,11,Active,True
244,PRD000244,Adidas Stan Smith Black,14,48,pcs,Black,XS,,1970,786300,1017500,11,Active,True
245,PRD000245,Informa Wardrobe Purple,5,21,pcs,Purple,Medium,,30726,5695100,6910000,11,Active,True
246,PRD000246,Nestle Milo,8,31,pack,,,,263,24400,28500,11,Active,True
247,PRD000247,Logitech G102 Blue 1TB,21,66,pcs,Blue,,1TB,654,9952600,11759800,11,Active,True
248,PRD000248,Casio WK-6600,22,70,pcs,,,,5645,1610800,1978300,11,Active,True
249,PRD000249,Casio WK-6600,22,70,pcs,,,,6463,2997500,3713100,11,Active,True
250,PRD000250,Blackmores Multivitamin,9,32,bottle,,,,81,248200,306300,11,Active,True
251,PRD000251,Faber Castell Marker,17,55,pcs,,,,217,12400,16500,11,Active,True
252,PRD000252,OPPO Reno 13 Pink 256GB,3,14,pcs,Pink,,256GB,200,13298600,15592700,11,Discontinued,False
253,PRD000253,LEGO Classic,25,76,box,,,,4597,129300,199900,11,Active,True
254,PRD000254,Uniqlo AIRism T-Shirt Red,11,41,pcs,Red,XL,,255,400900,635200,11,Active,True
255,PRD000255,Roland GO Keys,22,69,pcs,,,,6231,769300,961800,11,Discontinued,False
256,PRD000256,Lenovo Yoga 7 Gray 256GB,2,8,pcs,Gray,,256GB,1010,20269800,23795500,11,Active,True
257,PRD000257,Electrolux Front Load Washer,4,17,pcs,,,,3730,1889000,2350300,11,Active,True
258,PRD000258,Sony Alpha A7 IV Gray,1,3,pcs,Gray,,,4423,4600000,5615900,11,Active,True
259,PRD000259,Uniqlo Ultra Light Down Gray,11,41,pcs,Gray,L,,241,1827000,2570500,11,Active,True
260,PRD000260,Joyko Notebook,17,56,pcs,,,,193,6800,9600,11,Active,True
261,PRD000261,Kalbe Hydro Coco,9,34,bottle,,,,372,133800,173900,11,Active,True
262,PRD000262,Coca-Cola Fanta Orange,8,29,pack,,,,506,23900,29500,11,Active,True
263,PRD000263,The North Face Summit Jacket Gold,15,52,pcs,Gold,30L,,3055,2433400,3316900,11,Active,True
264,PRD000264,GarudaFood Pilus,7,28,box,,,,430,66100,77300,0,Active,True
265,PRD000265,Anker PowerCore 10000 Red,23,71,pcs,Red,,,699,802900,1129900,11,Active,True
266,PRD000266,ASUS Zenbook 14 Green 64GB,2,9,pcs,Green,,64GB,2214,16346100,19193500,11,Active,True
267,PRD000267,Xiaomi Redmi Note 14 White 512GB,3,13,pcs,White,,512GB,268,9752700,10958800,11,Active,True
268,PRD000268,Roland TD-07,22,69,pcs,,,,11787,5762800,6638500,11,Active,True
269,PRD000269,Yamaha F310,22,68,pcs,,,,13295,7020000,8902100,11,Active,True
270,PRD000270,Pepsi Mirinda,8,30,pack,,,,782,23500,29100,11,Active,True
271,PRD000271,TCL QLED TV,4,19,pcs,,,,11679,5369200,6483400,11,Active,True
272,PRD000272,Nike Court Vision Black,14,47,pcs,Black,XS,,2415,3193300,4193600,11,Active,True
273,PRD000273,Castrol Power1,18,59,pcs,,,,965,1320900,1683500,11,Active,True
274,PRD000274,Sony PlayStation 5 Gold,1,3,pcs,Gold,,,1233,6705000,8115000,11,Active,True
275,PRD000275,Nike Pegasus Gray,14,47,pcs,Gray,XXL,,2791,325300,423200,11,Active,True
276,PRD000276,Baseus Power Bank Green,23,72,pcs,Green,,,604,806900,1282800,11,Active,True
277,PRD000277,Mattel Thomas & Friends,25,77,box,,,,4916,968400,1293400,11,Active,True
278,PRD000278,Shell Helix HX7,18,58,pcs,,,,1213,883500,1114000,11,Active,True
279,PRD000279,The North Face Borealis Blue,15,52,pcs,Blue,20L,,1659,649200,827200,11,Active,True
